description,COMMODITY_LEAF_PREDICTED
WIRE 4/0-3&2/0-1-AL-URD-WAKE FOREST 1000MSTR,899945
WIRE TFFN-16-YEL-26STR-CU-500S,899956
FTG CL-100MN FPS-4M 1IN 1H MALLEABLE CLMP 25/BX 250/CS **ORDER WITH FTG CLB-100MN FCB-100 1IN MALL CLAMP**,899877
WIRE THHN-600-BLU-37STR-CU-1000MSTR,899956
WIRE THHN-3-ORG-19STR-CU-2500MSTR,899956
LEV 5601-2I SP IV 15A SWITCH 10/BOX 100/CASE,899988
CONTECH LA-10-B BLK TOP MOUNT END FEED,899752
IDEAL 35-038 8-IN LONG NOSE PLIER 1/BX 1/CS *DISCONINTUED REPLACED BY 30-3038,899926
IDEAL 35-083 DEBURRING TOOL 1/BX 1/CS,899915
FTG GBL-500 FGB-540 1-1/2 INS GRD BUSHING 25/BX 250/CS,899867
LEV 5643-W 2 3WY WHT COMB SWS 10/BOX 20/CASE,901106
LEV 5224-2 COMB-2SP 15A 277V AC SWS 10/BOX 100/CASE,899988
LEV 5603-2I 3WAY IV 15A SWITCH 10/BOX 100/CASE,899988
LEV 5243-I COMB-2-3WAY15A277 AC SWS 10/BOX 20/CASE,901106
LEV 49255-H24 HI-DENSITY QP PANEL /BOX 1/CASE,899977
STI FSR200 2IN SPLIT FIRESTOP SLV 4/BX,899826
CONTECH LA-10-P WHT TOP MOUNT END FEED,899752
"UNIS HHXN037SS 3/8"" HEX NUT STAINLESS STEEL",899859
ARL GP19B 19-1/2 ODR LT FX SUPPORT 1/BX 6/CS,899864
BLT NU6-2128-PSS 5W-28W 277V COMPACT/LINEAR FLUORESCENT BALLAST W/ END FEED LEADS CS/100,898828
BLT NU6-2128-PSX 5W-28W 277V COMPACT/LINEAR FLUORESCENT BALLAST W/ END FEED LEADS CS/100,898828
BODINE GTDM GENERATOR TRANSFER DEVICE,899752
PHIL F14T5841ALTO40PK 40/CASE ITEM #: 23080,898899
WIRE THHN-12-GRN-W/YEL TRACER -19STR-CU-500S,899956
CABLE 12/2 HCF AL SOL 1000R TYPE AC,899951
CABLE 12/2 MC AL 1000R,899951
FTG GBL-600 FGB-550 2-IN INS GRD BUSHING 25/BX 125/CS,899826
FTG S-50 FKO-90 1/2 SNAP-IN KO 100/BX 1000/CS,899877
CONDUIT 1/2-EF-GRAY LIQ-TIT 1 X 100'C EF-11 GRY 6102-30-00,899752
CONDUIT 3/4 EMT *WHITE*  **YARD**,899867
CONTECH CTL8116TLIM35-P GIMBAL RING,899752
FTG S-75 FKO-91 3/4 SNAP-IN KO 100/BX 1000/CS,899877
FTG 1801 FPS-2 1/2 1H STEEL COND STRAP 100/BX 1000/CS,899830
