COMMODITY CODE DESCRIPTION_Level 1,COMMODITY CODE_Level 1,COMMODITY CODE DESCRIPTION_Level 2,COMMODITY CODE_Level 2,COMMODITY CODE DESCRIPTION_Level 3,COMMODITY CODE_Level 3,COMMODITY CODE DESCRIPTION_Level 4,COMMODITY CODE_Level 4,COMMODITY_LEAF
Lighting,898795,Lamps,898804,"Quartz, Halogen & Specialty Lamps",898881,"Quartz, Halogen & Specialty PAR Lamps",898927,898927
Lighting,898795,Lighting Parts & Accessories,898806,Lampholders,898807,Screw-In Lamp Holders,898810,898810
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,EMT Fittings,899867,,,899867
Lighting,898795,Lamps,898804,LED Lamps,898877,LED Linear / U Lamps,898885,898885
Lighting,898795,Indoor Lighting,898798,Downlighting,898836,Commercial Downlights,898842,898842
Electrical Distribution,899719,Transformers,899734,Transformer Accessories,899791,,,899791
"Fittings, Hardware & Cable Management",899717,"Brackets, Supports, Hanging & Mounting",899853,"Brackets, Supports & Clamps",899877,,,899877
"Wire Terminations, Connections & Grounding",899720,Lugs,899813,Mechanical Lugs,899831,,,899831
Tools & Equipment,899709,Drilling & Hole-Making,899893,Hole Cutters,900033,,,900033
Tools & Equipment,899709,Tape & Adhesives,899905,Electrical Tape,899906,,,899906
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Duplex Receptacle Plates,900004,,,900004
"Fittings, Hardware & Cable Management",899717,"Nails, Screws, Washers & Anchors",899848,Washers,899851,,,899851
Tools & Equipment,899709,Hand Tools,899895,Screwdrivers & Nutdrivers,899929,,,899929
Tools & Equipment,899709,Bags & Jobsite Accessories,899915,,,,,899915
Electrical Distribution,899719,Metering,899740,Group Metering,900019,Meter Breakers,900021,900021
Electrical Distribution,899719,Fuses,899806,Cartridge & Blade Fuses,899807,,,899807
Data & Communication,901107,Racks & Pathway,901145,J Hooks,901159,,,901159
Data & Communication,901107,Faceplates & Boxes,901144,,,,,901144
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Blank Plates,900002,,,900002
Electrical Distribution,899719,Circuit Breakers,899732,Miniature Breakers,900017,,,900017
Electrical Distribution,899719,Fuses,899806,Miniature Fuses,899809,,,899809
"Wire, Cords & Cables",899715,Aluminum Building Wire,899722,Aluminum SEU Service Entrance Cable,899945,,,899945
"Wiring Devices, Boxes & Plates",899718,Switches,899933,Specialty Switches,899992,,,899992
"Wire Terminations, Connections & Grounding",899720,Grounding,899812,Grounding Braids,901245,,,901245
Tools & Equipment,899709,Tape & Adhesives,899905,Specialty Tape,899907,,,899907
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,"Box Covers, Backplates, & Accessories",899752,899752
Electrical Distribution,899719,Transformers,899734,Buck Boost Transformers,899789,,,899789
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Combination Plates,899998,,,899998
Electrical Distribution,899719,Metering,899740,Individual Meter Sockets & House Panels,899795,,,899795
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Nipples,899870,,,899870
Tools & Equipment,899709,"Chemicals, Lubricants & Paint",899897,Corrosion Inhibitors,899904,,,899904
Data & Communication,901107,Category 6,901136,6 Patch Cords,901152,,,901152
Tools & Equipment,899709,Lasers & Levels,899920,,,,,899920
Lighting,898795,Lighting Controls,898803,Lighting Control Panels,898876,,,898876
Electrical Distribution,899719,Control & Automation,899736,Indicating Lights,899746,,,899746
"Safety, Signaling & Alarms",898934,Personal Protective Equipment,898942,"Masks, Respirators, Filters, & Accessories",898948,,,898948
Electrical Distribution,899719,Control & Automation,899736,Contactors,900018,,,900018
"Fittings, Hardware & Cable Management",899717,"Nails, Screws, Washers & Anchors",899848,Threaded Rod,899880,,,899880
"Fittings, Hardware & Cable Management",899717,Cable Tray & Fasteners,899860,Cable Ties,899875,,,899875
Electrical Distribution,899719,Metering,899740,Meter Socket Hardware,899794,,,899794
Tools & Equipment,899709,"Chemicals, Lubricants & Paint",899897,Lubricants,899901,,,899901
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,Industrial Receptacles,899977,,,899977
Lighting,898795,Lamps,898804,"Quartz, Halogen & Specialty Lamps",898881,"Other Quartz, Halogen & Specialty Lamps",898930,898930
Data & Communication,901107,Category 6a,901139,6a Patch Cords,901156,,,901156
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Single Receptacle Plates,900000,,,900000
"Wiring Devices, Boxes & Plates",899718,Pin & Sleeve Devices,899996,,,,,899996
Electrical Distribution,899719,Control & Automation,899736,Coils,899770,,,899770
Tools & Equipment,899709,"Chemicals, Lubricants & Paint",899897,Marking & Spray Paint,899903,,,899903
"Wiring Devices, Boxes & Plates",899718,Receptacles,899932,GFCI Receptacles,899976,,,899976
"Wiring Devices, Boxes & Plates",899718,Boxes & Accessories,899934,Junction Boxes,899751,Outdoor Boxes,899754,899754
"Conduit, Raceway & Strut",899716,Raceway,899737,Surface Raceway,899971,,,899971
"Wire Terminations, Connections & Grounding",899720,Wire Terminals,899819,Ring Terminals,899833,,,899833
Lighting,898795,Lamps,898804,Incandescent Lamps,898880,Incandescent Decorative Lamps,898918,898918
Electrical Distribution,899719,Control & Automation,899736,Relays,899760,,,899760
"Safety, Signaling & Alarms",898934,Personal Protective Equipment,898942,Gloves & Pads,898947,,,898947
Lighting,898795,Lamps,898804,LED Lamps,898877,LED Plug In Lamps,898892,898892
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Rigid Conduit Fittings,899863,,,899863
"Conduit, Raceway & Strut",899716,Metallic Conduit,899967,,,,,899967
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Duct Bank Spacers,899872,,,899872
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Pin Connector,901219,,,901219
"Conduit, Raceway & Strut",899716,Strut,899735,,,,,899735
Lighting,898795,Indoor Lighting,898798,Troffers,898855,,,898855
Electrical Distribution,899719,Transformers,899734,Low Voltage Transformers,901220,,,901220
"Conduit, Raceway & Strut",899716,DIN Rail,899993,,,,,899993
"Wire Terminations, Connections & Grounding",899720,Connectors,899822,Bolt Connectors,899839,,,899839
Lighting,898795,Lighting Controls,898803,Dimmers and Accessories,898872,,,898872
Electrical Distribution,899719,Fuses,899806,Fuse Accessories,899811,,,899811
"Wire Terminations, Connections & Grounding",899720,Grounding,899812,Grounding Clamps,899826,,,899826
Tools & Equipment,899709,"Chemicals, Lubricants & Paint",899897,Cleaning & Supplies,899898,,,899898
"Fittings, Hardware & Cable Management",899717,Strut Fittings & Accessories,899859,,,,,899859
Tools & Equipment,899709,Test & Measurement,899886,Voltage & Receptacle Testers,899890,,,899890
Lighting,898795,Lamps,898804,LED Lamps,898877,LED PAR Lamps,898888,898888
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,"Condulets, Covers & Gaskets",899858,Covers,899884,899884
