PRODUCT_ID,COMMODITY_LEAF,description,buy_line_id,price_line_id,keywords,product_family_id,product_family_description
10255,899989,LEV 55500-PRT KEY FOR LOCK SW 10/BOX 100/CASE,LEVITON,LEVITON,"LEV55500PRT 55500-PRT 078477 32910
FOR KEY LOCK SW

STK LEVITON
WEBREADY",,
24199,899929,"KLEIN 601-6 SCREWDRIVER, CUSHION-GRIP, ROUND-SHANK CABINET TIP, 3/16""X6",KLEIN,KLEIN,"KLN6016 KLN 092644 85014


STK KLEIN
WEBREADY",,
14949,899830,T&B 54165-TB 3/0AWG ORG 1H COP LUG 10/BX 100/CS,T&B,T&B,"TB54165TB 54165-TB 786210 54165 1H
3/0AWG COP ORG T&B

STK T&B
WEBREADY",,
21011,899877,ERC 812M24 3/4 COND HGR&CLAMP 100/BX,CADDY,CADDY,"CAD812M24 CAD 782856 16210


STK CADDY
WEBREADY",,
22306,899807,L-FSE FLNR010 250V RK5 TD FUSE 10/BX,LFUSE,LFUSE,"LFFLNR10 L-FSE FLN- 079458 15065
250V FLN-R10 FUSE RK5 TD

STK LFUSE
WEBREADY
FUSE	SMCPARTS",,
11637,899907,3M 27-3/4X66FT GLASS CLOTH TAPE 10/BX 50/CS,3M,3M,"3M2734X66FT 3M 054007 15074


STK 3M
WEBREADY",,
19926,899864,"ARL NMLT9050 SUP 88418 1/2"" GRAY 90D CONNECTOR 10/BX 50/CS",ARLING,ARLING,"SUP8418 SUP
WEBREADY",LIQUIDTIGNM1/2*ALL,"1/2"" NON-METALLIC LIQUID TIGHT PARTS & PIECES"
10375,900003,LEV 41080-6WP WHT 6P WALLPLATE 1/BOX 25/CASE,LEVITON,LEVITON,"LEV410806WP LEV 41080- 078477 79479


STK LEVITON
WEBREADY",,
24038,900031,CUL 59908 1/4X6 MASONRY DRILL 1/PK,CULLY,CULLY,"CUL59908 59908 085937 59908 1/4X6
DRILL MASONRY",,
12042,900034,IDEAL 36-058 6X3/4X.035 24TPI BLADE 5/BX (MIN ORD QTY 5),IDEAL,IDEAL,"IDL50993 IDL 783250 50993
6X3/4X.035 BLADE IDEAL

STK IDEAL
WEBREADY",,
16555,898899,GE F14W/T5/830/ECO FLUOR LAMP 40/CASE   31590,GELAMP,GELAMP,"GELF14WT5830ECO GE F14W/T5 043168
31590 F14W/T5/830/ECO

STK GELAMP
WEBREADY
3.56
4.27",,
10400,899867,STL-CTY TC729A 3-1/2IN INS S/S EMT CONN -/BX 5/CS,T&B,T&B,"STCTC729A TC729A 785991 02540
CONNISTLSS350 4350ST
SMCPARTS
INSULATED SET SCREW CONNECTOR
WEBREADY
CROUSE 1458","EMT 3-1/2""*ALL","3-1/2"" EMT PARTS & PIECES"
10424,899956,WIRE THHN-8-PUR-19STR-CU-1000MSTR,BWCU,BWCU,"THHN8PUR BUILDING W 980100 23136
PURPLE
THHN8MSTR
STK BWCU
WEBREADY",THHN 8 STRAND*ALL,THHN 8 STRANDED
10430,899840,NSI IPLD750-3 INSD M-CBL CONN BLCK 1/BX,NSI,NSI,"NSIIPLD7503 NSI 662381 92601
PCSB750-2-2Y",,
10438,899831,NSI IPLD750-4 INSD M-CBL CONN BLCK 1/BX,NSI,NSI,"NSIIPLD7504 NSI 662381 92602
PAND PCSB750-4-2Y MULTI-TAP CONN
100/BX 1000/CS",,
18377,900002,LEV 88035 3G WHT BLANK PLATE 5/BOX 50/CASE,LEVITON,LEVITON,"LEV88035 LEV 88035 078477 78097 3G
BLANK PLATE WHT

STK LEVITON
WEBREADY",,
22690,898872,LEV IPX06-10Z ILLUMATECH MARK X DMR 1/BOX 10/CASE,LEVITON,LEVITON,"LEVIPX061LZ IPX06-1LZ 078477 28211
ILLUMATECH MARK
LEDDIM
LED
WEBREADY",,
10466,899831,NSI IPLD750-6 INSD M-CBL CONN BLCK 1/BX,NSI,NSI,"this item replaced eid#.155283-
IPL750-6
NSIIPLD7506 IPLD750-6 662381 92604
INSUL MULTI-TAP
PAND PCSB750-6-1Y MULTI-TAP CONN
100/BX 1000/CS",,
12299,898834,ADV 72C5581NP001 MH BAL 175W M57 120/277V FCAN 150/175W LAMP WATTAGE CAPABLE,ADVANCE,ADVANCE,"ADV72C5581NP001 72C5581-N- 781087
02530 120/277V 150/175W MH",,
10491,899929,"KLEIN 630-9/16 NUT DRIVER, CUSHION-GRIP, 4"" HOLLOW-SHAFT, 9/16"" HEX",KLEIN,KLEIN,"KLN630916 630-9/16 092644 65008
DRIVER KLEIN NUT


WEBREADY",,
15097,899920,"KLEIN 910-6 FIBERGLASS FOLDING RULE, 6, INSIDE READING",KLEIN,KLEIN,"KLN9106 910-6 092644 86311 FBRGLS
FLDG KLEIN RULE


WEBREADY",,
10504,900031,IDEAL 35-870 1/4 INSTALLER BIT 6/BX,IDEAL,IDEAL,"IDL35870 IDL 783250 35870
BIT IDEAL INSTALLER
SMCPARTS",,
23838,899863,T&B 146-TB 2-IN STEEL LOCKNUT 25/BX 50/CS,T&B,T&B,"TB146 TB 786210 00146
FTG L-600 ARL 406",,
10542,899807,L-FSE KLK010 600V MIDGET FUSE 10/BX,LFUSE,LFUSE,"LFKLK10 KLK10 079458 25065 600V
FUSE L-FSE MIDGET

STK LFUSE
WEBREADY
FUSE	SMCPARTS",,
24208,901182,ARL 4401 3/4 KO BUSHING PLASTIC 100/BX 1000/CS,ARLING,ARLING,"ARL4401 4401 018997 04401 3/4
BUSHING KO
WEBREADY SMCPARTS",,
22368,898909,GE F9BX/835/ECO FLUOR LAMP 100/CASE   97560 **DELISTED W/NO SUB**,GELAMP,GELAMP,"GELF9BX835ECO F9BX/835/E 043168
97560 F9BX/835/ECO FLOUR LAMP

 ",,
10564,899807,L-FSE KLK015 600V MIDGET FUSE 10/BX,LFUSE,LFUSE,"LFKLK15 KLK15 079458 25068 600V
FUSE L-FSE MIDGET

STK LFUSE
WEBREADY",,
10576,899971,WM V2010B 3/4 BLANK END FTG 5/PK 25/BX,WIREMOLD,WIREMOLD,"WIRV2010B WIR 786776 09543


STK WIREMOLD
WEBREADY",,
